variables,variables.lab,choices,choices.lab
sex,性別,1,男性
sex,性別,2,女性
age,年齢 ,NA,NA
prefid,都道府県,1,北海道
prefid,都道府県,2,青森県
prefid,都道府県,3,岩手県
prefid,都道府県,4,宮城県
prefid,都道府県,5,秋田県
prefid,都道府県,6,山形県
prefid,都道府県,7,福島県
prefid,都道府県,8,茨城県
prefid,都道府県,9,栃木県
prefid,都道府県,10,群馬県
prefid,都道府県,11,埼玉県
prefid,都道府県,12,千葉県
prefid,都道府県,13,東京都
prefid,都道府県,14,神奈川県
prefid,都道府県,15,新潟県
prefid,都道府県,16,富山県
prefid,都道府県,17,石川県
prefid,都道府県,18,福井県
prefid,都道府県,19,山梨県
prefid,都道府県,20,長野県
prefid,都道府県,21,岐阜県
prefid,都道府県,22,静岡県
prefid,都道府県,23,愛知県
prefid,都道府県,24,三重県
prefid,都道府県,25,滋賀県
prefid,都道府県,26,京都府
prefid,都道府県,27,大阪府
prefid,都道府県,28,兵庫県
prefid,都道府県,29,奈良県
prefid,都道府県,30,和歌山県
prefid,都道府県,31,鳥取県
prefid,都道府県,32,島根県
prefid,都道府県,33,岡山県
prefid,都道府県,34,広島県
prefid,都道府県,35,山口県
prefid,都道府県,36,徳島県
prefid,都道府県,37,香川県
prefid,都道府県,38,愛媛県
prefid,都道府県,39,高知県
prefid,都道府県,40,福岡県
prefid,都道府県,41,佐賀県
prefid,都道府県,42,長崎県
prefid,都道府県,43,熊本県
prefid,都道府県,44,大分県
prefid,都道府県,45,宮崎県
prefid,都道府県,46,鹿児島県
prefid,都道府県,47,沖縄県
